Round,My Throw,CPU Throw,Result
1,Paper,Paper,Tie
2,Rock,Scissors,Win
3,Rock,Rock,Tie
4,Paper,Paper,Tie
5,Scissors,Scissors,Tie
6,Scissors,Scissors,Tie
7,Paper,Paper,Tie
8,Paper,Rock,Win
9,Paper,Rock,Win
10,Rock,Paper,Loss
11,Scissors,Paper,Win
12,Paper,Rock,Win
13,Paper,Rock,Win
14,Paper,Scissors,Loss
15,Paper,Scissors,Loss
16,Scissors,Rock,Loss
17,Rock,Scissors,Win
18,Rock,Rock,Tie
19,Rock,Paper,Loss
20,Rock,Scissors,Win
21,Scissors,Paper,Win
22,Scissors,Rock,Loss
23,Paper,Rock,Win
24,Paper,Scissors,Loss
25,Scissors,Rock,Loss
26,Scissors,Rock,Loss
27,Paper,Rock,Win
28,Paper,Scissors,Loss
29,Rock,Rock,Tie
30,Paper,Paper,Tie
