day,interval (min),duration (min),height (ft)
1,76,4.53333,140
1,84,3.83333,140
1,76,3.83333,130
1,103,4.23333,125
1,92,4.7,162
1,47,1.83333,125
1,98,4,120
1,54,2,104
1,NA,4.41667,135
2,83,3.98333,NA
2,80,3.56667,130
2,91,4.25,140
2,69,2.75,145
2,86,4.46667,140
2,83,3.35,115
2,75,3.26667,110
2,93,4.3,140
2,NA,1.98333,125
3,63,NA,NA
3,89,4.25,141
3,96,4.05,151
3,65,2.11667,139
3,94,4.63333,108
3,85,4.18333,136
3,94,4.05,105
3,60,2.13333,108
3,94,4.6,105
3,NA,2.06667,106
4,86,4.53333,140
4,93,3.7,130
4,88,4.16667,155
4,61,1.86667,108
4,96,4.68333,129
4,52,1.83333,160
4,98,4.1,130
4,68,2.21667,129
4,NA,4.4,140
5,58,2.25,130
5,94,4.11667,105
5,53,1.88333,142
5,85,4.5,125
5,54,1.7,120
5,93,4.38333,110
5,53,1.91667,137
5,95,4.23333,105
5,67,2.3,138
5,NA,4.4,135
6,112,4.3,140
6,61,2.58333,150
6,87,4.41667,108
6,67,2.56667,110
6,88,4.63333,130
6,89,4.11667,147
6,86,4.21667,140
6,52,1.93333,139
6,88,4.03333,140
6,NA,3.5,NA
7,75,3.4,140
7,95,4.03333,110
7,91,4.43333,155
7,52,1.96667,135
7,87,4.25,142
7,55,2.01667,135
7,96,4.75,130
7,48,1.83333,130
7,95,4.38333,130
7,NA,2.05,139
8,62,NA,NA
8,93,4.35,140
8,62,1.91667,130
8,92,4.45,130
8,84,3.71667,140
8,90,4.5,150
8,75,2.11667,145
8,107,4.58333,140
8,53,1.85,139
8,85,4.05,108
8,NA,3.93333,110
9,56,1.66667,155
9,90,3.36667,138
9,54,2.01667,139
9,94,4.48333,130
9,62,1.75,140
9,95,4.33333,135
9,61,1.8,180
9,93,4.35,110
9,NA,1.8,125
9,NA,4.03333,140
10,98,NA,NA
10,80,4.08333,150
10,87,4.08333,137
10,80,4.33333,125
10,61,2.03333,132
10,94,4.63333,140
10,84,3.83333,140
10,64,1.5,129
10,92,5,155
10,NA,1.81667,140
11,89,4.28333,140
11,55,2.11667,140
11,86,4.51667,130
11,73,2.2,140
11,92,4.31667,160
11,53,2.25,145
11,100,4.58333,105
11,53,1.83333,153
11,87,4.46667,115
11,NA,2.2,115
12,86,4.26667,110
12,52,1.88333,110
12,94,4.4,110
12,94,4.16667,140
12,61,2.5,110
12,96,NA,118
12,51,2.03333,145
12,99,4.66667,130
12,63,2.15,110
12,NA,4.25,140
12,NA,1.9,NA
13,68,2.03333,110
13,94,4.46667,137
13,63,1.91667,140
13,102,4.48333,153
13,76,4.01667,140
13,92,4.2,140
13,58,1.78333,131
13,96,4.38333,150
13,NA,2.21667,150
14,58,1.91667,NA
14,88,4.03333,NA
14,66,2.03333,130
14,88,4.31667,142
14,64,1.83333,139
14,92,4.25,160
14,74,1.6,140
14,83,4.4,160
14,54,1.7,140
14,NA,4.51667,130
15,88,NA,NA
15,57,2.08333,150
15,83,4.66667,105
15,60,1.63333,108
15,93,4.41667,129
15,79,4,140
15,77,4.03333,130
15,83,3.16667,140
15,87,4.41667,110
15,59,1.73333,139
15,NA,4.51667,135
16,105,NA,NA
16,54,1.68333,140
16,89,4.58333,NA
16,50,1.76667,148
16,90,4.33333,141
16,53,1.75,110
16,92,NA,NA
16,NA,2.41667,140
16,NA,4.28333,NA
16,62,1.63333,145
16,NA,4.26667,145
17,61,1.83333,140
17,91,4.46667,143
17,63,1.93333,NA
17,91,4.36667,153
17,90,3.88333,140
17,86,4.11667,140
17,50,2,140
17,100,4.15,96
17,64,1.8,150
17,NA,4.51667,140
18,98,3.7,NA
18,58,1.9,110
18,88,4.33333,125
18,65,1.75,110
18,97,4.5,120
18,52,1.66667,125
18,90,4.6,150
18,83,NA,130
18,NA,4.13333,135
19,94,4,130
19,78,2.96667,NA
19,93,4.38333,154
19,82,4.08333,130
19,54,1.88333,139
19,90,4.83333,125
19,80,2.83333,133
19,89,4.53333,130
19,NA,1.93333,134
19,NA,4.33333,NA
20,59,2,NA
20,91,4.03333,145
20,79,3.86667,140
20,87,3.88333,145
20,52,1.86667,135
20,106,4.46667,141
20,56,1.91667,150
20,89,4.28333,140
20,58,1.98333,140
20,NA,4.21667,140
21,62,2.06667,130
21,88,4.61667,140
21,58,1.9,130
21,91,4.5,140
21,56,1.95,120
21,98,4.53333,140
21,85,3.95,100
21,57,2.11667,160
21,92,4.43333,130
21,65,2.11667,130
21,91,4.76667,139
22,76,2.56667,130
22,91,4.53333,155
22,89,4.43333,140
22,79,3.91667,142
22,85,4.56667,130
22,64,2.15,120
22,100,4.53333,140
22,61,2.1,139
22,NA,4.63333,108
23,89,3.96667,155
23,87,4.61667,108
23,52,1.76667,150
23,98,4.63333,115
23,57,1.65,130
23,93,4.61667,137
23,56,1.85,150
23,103,4.43333,125
23,59,2.06667,155
23,NA,4.3,150
24,68,2.03333,140
24,90,4.51667,150
24,51,1.58333,140
24,92,4.5,140
24,60,1.9,135
24,104,4.28333,140
24,58,1.5,149
24,94,4.45,160
24,56,2.2,139
24,NA,4.36667,130
25,47,2.5,NA
25,99,4.36667,130
25,56,1.75,140
25,94,4.1,153
25,59,1.76667,108
25,90,4.36667,135
25,59,1.9,150
25,101,4.53333,155
25,63,2.21667,130
25,NA,4.46667,135
26,94,4.45,150
26,53,1.86667,130
26,92,4.46667,106
26,64,1.75,130
26,83,4.26667,110
26,62,1.55,108
26,93,4.73333,130
26,62,1.76667,135
26,96,4.75,150
26,NA,NA,137
27,51,1.96667,145
27,87,4.55,130
27,79,2.78333,130
27,89,4.11667,140
27,62,1.81667,125
27,93,4.53333,152
27,68,2.2,141
27,87,4.21667,145
27,68,2.23333,135
27,NA,4.45,NA
28,90,4.53333,153
28,59,1.65,139
28,90,4.33333,140
28,91,4,110
28,59,1.98333,140
28,85,4.53333,95
28,85,3.66667,88
28,49,2.05,110
28,97,4.26667,105
28,NA,1.9,150
29,52,2.08333,135
29,99,4.41667,110
29,48,1.95,145
29,86,4.13333,108
29,62,1.63333,NA
29,99,4.16667,140
29,57,1.66667,143
29,86,4.5,135
29,60,1.86667,140
29,NA,4.45,140
30,94,4.51667,110
30,54,1.9,135
30,82,4.63333,130
30,66,2.25,140
30,NA,4.86667,140
30,NA,1.91667,140
30,91,4.38333,139
30,NA,2.53333,110
30,101,4.3,110
30,NA,1.86667,137
31,86,NA,NA
31,77,4,150
31,82,4.05,NA
31,83,3.96667,110
31,58,2.35,138
31,103,4.43333,130
31,53,1.95,160
31,90,4.45,139
31,53,1.66667,109
31,113,4.11667,100
